iter	Passed	Remaining
0	154	154110
1	157	78647
2	161	53546
3	164	41083
4	168	33589
5	172	28518
6	175	24907
7	179	22267
8	183	20176
9	186	18458
10	190	17094
11	193	15948
12	197	14991
13	200	14117
14	203	13381
15	207	12765
16	211	12230
17	214	11724
18	218	11265
19	222	10880
20	225	10517
21	229	10183
22	232	9862
23	235	9580
24	239	9339
25	243	9104
26	246	8876
27	249	8671
28	254	8509
29	257	8324
30	260	8146
31	264	7988
32	268	7854
33	271	7708
34	274	7576
35	278	7447
36	282	7344
37	285	7233
38	289	7127
39	292	7028
40	296	6935
41	299	6834
42	301	6719
43	304	6613
44	306	6509
45	309	6409
46	311	6307
47	312	6201
48	314	6097
49	315	5995
50	316	5894
51	318	5797
52	319	5704
53	320	5615
54	321	5529
55	323	5450
56	324	5367
57	325	5288
58	326	5210
59	327	5135
60	328	5060
61	329	4986
62	330	4915
63	331	4846
64	332	4778
65	333	4715
66	334	4652
67	334	4585
68	335	4528
69	337	4477
70	337	4420
71	338	4365
72	339	4311
73	340	4258
74	341	4209
75	342	4160
76	343	4114
77	344	4067
78	344	4019
79	345	3973
80	346	3928
81	346	3884
82	347	3840
83	348	3798
84	348	3755
85	349	3715
86	350	3674
87	351	3639
88	352	3603
89	352	3568
90	353	3533
91	354	3498
92	355	3464
93	355	3430
94	356	3397
95	357	3365
96	358	3333
97	358	3302
98	359	3272
99	360	3242
100	361	3213
101	361	3181
102	362	3153
103	362	3125
104	363	3098
105	364	3071
106	365	3046
107	365	3021
108	366	2996
109	367	2971
110	367	2947
111	368	2923
112	369	2899
113	370	2876
114	370	2854
115	371	2831
116	372	2810
117	373	2788
118	373	2766
119	374	2745
120	375	2725
121	375	2705
122	376	2682
123	376	2663
124	377	2643
125	378	2624
126	379	2606
127	379	2586
128	380	2568
129	381	2550
130	381	2533
131	382	2516
132	383	2498
133	384	2482
134	384	2465
135	385	2449
136	386	2432
137	386	2416
138	387	2401
139	388	2386
140	389	2371
141	390	2356
142	390	2342
143	391	2327
144	392	2314
145	393	2300
146	394	2286
147	394	2273
148	395	2259
149	396	2246
150	397	2233
151	398	2220
152	398	2207
153	399	2194
154	400	2182
155	401	2169
156	401	2157
157	402	2145
158	403	2133
159	404	2121
160	404	2109
161	405	2097
162	406	2086
163	407	2075
164	408	2065
165	408	2054
166	409	2043
167	410	2032
168	411	2022
169	411	2011
170	412	2000
171	413	1990
172	414	1980
173	415	1970
174	415	1960
175	416	1950
176	417	1940
177	418	1930
178	418	1921
179	419	1911
180	420	1900
181	421	1892
182	422	1884
183	423	1876
184	424	1868
185	424	1859
186	425	1850
187	426	1841
188	427	1833
189	427	1824
190	428	1815
191	429	1807
192	430	1798
193	431	1790
194	431	1782
195	432	1774
196	433	1766
197	434	1758
198	434	1749
199	435	1741
200	436	1734
201	437	1726
202	437	1718
203	438	1711
204	439	1703
205	440	1696
206	440	1688
207	441	1681
208	442	1674
209	443	1666
210	443	1659
211	444	1652
212	445	1645
213	446	1638
214	446	1631
215	447	1624
216	449	1620
217	449	1613
218	450	1607
219	451	1600
220	452	1593
221	452	1587
222	453	1580
223	454	1574
224	455	1567
225	455	1561
226	456	1554
227	457	1548
228	458	1542
229	458	1536
230	459	1529
231	460	1523
232	461	1517
233	461	1511
234	462	1506
235	463	1500
236	464	1494
237	464	1488
238	465	1482
239	466	1476
240	467	1470
241	467	1465
242	468	1459
243	469	1453
244	469	1448
245	470	1442
246	471	1437
247	472	1431
248	472	1426
249	473	1421
250	474	1416
251	475	1410
252	475	1405
253	476	1400
254	477	1394
255	478	1389
256	479	1384
257	479	1379
258	480	1374
259	481	1369
260	481	1364
261	482	1359
262	483	1354
263	484	1349
264	484	1345
265	485	1340
266	486	1335
267	487	1330
268	488	1326
269	488	1321
270	489	1316
271	490	1312
272	491	1307
273	491	1303
274	492	1299
275	493	1295
276	494	1291
277	495	1287
278	496	1283
279	497	1279
280	498	1275
281	499	1271
282	500	1267
283	501	1263
284	501	1259
285	502	1255
286	503	1250
287	504	1246
288	505	1243
289	506	1240
290	507	1237
291	509	1234
292	510	1231
293	511	1229
294	512	1225
295	515	1225
296	516	1221
297	517	1218
298	518	1214
299	519	1211
300	520	1207
301	520	1204
302	521	1200
303	522	1196
304	523	1193
305	524	1190
306	525	1187
307	526	1183
308	527	1179
309	528	1176
310	529	1173
311	530	1169
312	531	1166
313	532	1163
314	533	1159
315	534	1156
316	535	1152
317	536	1149
318	536	1146
319	537	1143
320	538	1139
321	539	1136
322	540	1133
323	541	1130
324	542	1127
325	543	1124
326	545	1121
327	546	1119
328	547	1116
329	548	1113
330	549	1110
331	550	1107
332	551	1103
333	551	1100
334	552	1097
335	553	1094
336	554	1091
337	555	1088
338	556	1084
339	557	1081
340	558	1079
341	559	1076
342	560	1073
343	561	1070
344	562	1067
345	563	1064
346	563	1061
347	564	1058
348	565	1055
349	566	1051
350	567	1048
351	568	1045
352	569	1043
353	570	1040
354	571	1037
355	571	1034
356	572	1031
357	574	1029
358	575	1026
359	575	1023
360	576	1021
361	577	1018
362	578	1015
363	579	1012
364	580	1009
365	581	1006
366	582	1004
367	583	1001
368	583	998
369	584	995
370	585	992
371	586	990
372	587	987
373	588	984
374	589	982
375	590	979
376	591	977
377	592	974
378	593	971
379	593	969
380	594	966
381	595	963
382	596	961
383	597	958
384	598	955
385	599	953
386	600	950
387	601	948
388	602	946
389	603	944
390	604	942
391	606	940
392	607	937
393	607	935
394	608	932
395	609	930
396	610	927
397	611	924
398	612	922
399	613	920
400	614	917
401	615	915
402	616	912
403	617	910
404	618	908
405	619	906
406	620	904
407	621	901
408	622	899
409	623	896
410	623	894
411	625	892
412	626	889
413	626	887
414	627	885
415	628	882
416	629	880
417	630	878
418	631	875
419	632	873
420	633	871
421	635	869
422	636	867
423	636	865
424	637	862
425	638	860
426	639	858
427	640	856
428	641	853
429	642	851
430	643	849
431	644	847
432	645	844
433	645	842
434	646	840
435	648	838
436	649	836
437	650	834
438	651	832
439	652	830
440	653	827
441	654	825
442	654	823
443	655	821
444	656	819
445	657	817
446	658	815
447	660	813
448	661	811
449	662	810
450	664	808
451	665	806
452	666	804
453	667	802
454	668	800
455	669	798
456	670	796
457	671	794
458	672	792
459	673	790
460	674	788
461	675	786
462	676	784
463	677	782
464	678	780
465	679	778
466	680	776
467	681	774
468	682	772
469	683	770
470	684	768
471	684	766
472	685	764
473	686	762
474	687	760
475	688	758
476	689	756
477	690	754
478	691	752
479	692	750
480	693	748
481	694	746
482	695	744
483	696	742
484	697	740
485	698	738
486	699	736
487	700	734
488	700	732
489	701	730
490	702	728
491	703	726
492	704	724
493	705	722
494	706	720
495	707	718
496	708	716
497	709	714
498	709	712
499	710	710
500	711	708
501	712	706
502	713	704
503	713	702
504	714	700
505	715	698
506	716	696
507	716	694
508	717	692
509	718	690
510	719	688
511	720	686
512	720	684
513	721	682
514	722	680
515	723	678
516	723	676
517	724	674
518	725	672
519	726	670
520	727	668
521	727	666
522	728	664
523	729	662
524	730	660
525	730	658
526	731	656
527	732	654
528	733	652
529	733	650
530	734	648
531	735	646
532	736	644
533	736	643
534	737	641
535	738	639
536	739	637
537	739	635
538	740	633
539	741	631
540	742	629
541	742	627
542	743	625
543	744	624
544	745	622
545	745	620
546	746	618
547	747	616
548	748	614
549	749	612
550	749	611
551	750	609
552	751	607
553	752	605
554	753	603
555	753	602
556	754	600
557	755	598
558	756	596
559	756	594
560	757	592
561	758	591
562	759	589
563	759	587
564	760	585
565	761	583
566	762	582
567	762	580
568	763	578
569	764	576
570	765	574
571	765	573
572	766	571
573	767	569
574	768	567
575	768	566
576	769	564
577	770	562
578	771	560
579	772	559
580	772	557
581	773	555
582	774	553
583	775	552
584	775	550
585	776	548
586	777	547
587	778	545
588	779	543
589	779	542
590	780	540
591	781	538
592	782	536
593	783	535
594	783	533
595	784	531
596	785	530
597	786	528
598	787	526
599	787	525
600	788	523
601	789	521
602	790	520
603	790	518
604	791	516
605	792	515
606	793	513
607	794	511
608	794	510
609	795	508
610	796	507
611	797	505
612	798	504
613	799	502
614	799	500
615	800	499
616	801	497
617	802	495
618	803	494
619	803	492
620	804	491
621	805	489
622	806	487
623	806	486
624	807	484
625	808	483
626	809	481
627	809	479
628	810	478
629	811	476
630	812	474
631	812	473
632	813	471
633	814	470
634	815	468
635	816	467
636	816	465
637	817	463
638	818	462
639	819	460
640	819	459
641	820	457
642	821	456
643	822	454
644	822	452
645	823	451
646	824	449
647	824	448
648	825	446
649	826	444
650	826	443
651	827	441
652	828	440
653	829	438
654	829	437
655	830	435
656	831	434
657	832	432
658	832	431
659	833	429
660	834	428
661	835	426
662	835	424
663	836	423
664	837	421
665	838	420
666	838	418
667	839	417
668	840	415
669	841	414
670	842	412
671	843	411
672	843	410
673	844	408
674	845	407
675	846	405
676	847	404
677	847	402
678	848	401
679	849	399
680	849	398
681	850	396
682	851	395
683	852	393
684	852	392
685	853	390
686	854	389
687	854	387
688	855	386
689	856	384
690	857	383
691	858	381
692	858	380
693	859	379
694	860	377
695	861	376
696	861	374
697	862	373
698	863	371
699	863	370
700	864	368
701	865	367
702	866	365
703	866	364
704	867	363
705	868	361
706	868	360
707	869	358
708	870	357
709	871	355
710	872	354
711	872	353
712	873	351
713	874	350
714	875	348
715	875	347
716	876	345
717	877	344
718	878	343
719	878	341
720	879	340
721	880	338
722	881	337
723	881	336
724	882	334
725	883	333
726	884	332
727	884	330
728	885	329
729	886	327
730	887	326
731	888	325
732	889	323
733	889	322
734	890	321
735	891	319
736	891	318
737	892	316
738	893	315
739	894	314
740	894	312
741	895	311
742	896	310
743	897	308
744	897	307
745	898	305
746	899	304
747	899	303
748	900	301
749	901	300
750	902	299
751	903	297
752	903	296
753	904	295
754	905	293
755	906	292
756	906	291
757	907	289
758	908	288
759	909	287
760	909	285
761	910	284
762	911	283
763	911	281
764	912	280
765	913	279
766	914	277
767	914	276
768	915	275
769	916	273
770	917	272
771	918	271
772	918	269
773	919	268
774	920	267
775	921	265
776	921	264
777	922	263
778	923	261
779	924	260
780	924	259
781	925	257
782	926	256
783	926	255
784	927	254
785	928	252
786	929	251
787	930	250
788	930	248
789	931	247
790	932	246
791	933	245
792	934	243
793	934	242
794	935	241
795	936	239
796	936	238
797	937	237
798	938	236
799	939	234
